cancov;elev;X;Y
2.802909601;310.2690224;477373.156;4898251.277
1.753372362;310.3733519;478373.156;4898251.277
1.748719566;312.481239;479373.156;4898251.277
0.410013908;312.7878018;480373.156;4898251.277
0.483571489;311.8192749;481373.156;4898251.277
0.896240924;312.8935436;482373.156;4898251.277
0.63592932;313.7005835;483373.156;4898251.277
0.006170452;317.9080422;484373.156;4898251.277
1.353026735;316.1350296;485373.156;4898251.277
5.224143807;312.4265216;486373.156;4898251.277
7.12105207;310.4243539;487373.156;4898251.277
0.978201299;320.3955654;488373.156;4898251.277
0.008945873;327.0344695;489373.156;4898251.277
0.160196729;328.9874848;490373.156;4898251.277
0.433376332;329.5174505;491373.156;4898251.277
0.766269898;333.1880896;492373.156;4898251.277
1.690765894;337.3596605;493373.156;4898251.277
1.372316595;339.4898492;494373.156;4898251.277
0.017855178;339.5945341;495373.156;4898251.277
0.156384649;338.7929776;496373.156;4898251.277
0.00055933;346.3740483;497373.156;4898251.277
1.109158753;393.4852891;498373.156;4898251.277
16.03651741;589.3212278;499373.156;4898251.277
46.00289229;900.0737886;500373.156;4898251.277
54.01234658;1472.986457;501373.156;4898251.277
43.45746723;1921.581699;502373.156;4898251.277
67.25905223;932.1529052;430373.156;4899251.277
48.03266611;785.3069864;431373.156;4899251.277
65.16085755;583.2043235;432373.156;4899251.277
65.87567256;639.8055062;433373.156;4899251.277
68.66045934;594.6023075;434373.156;4899251.277
70.24888459;818.0390765;435373.156;4899251.277
68.11952576;938.882685;436373.156;4899251.277
70.90120197;773.9779404;437373.156;4899251.277
50.51299426;526.4092812;438373.156;4899251.277
67.49231152;911.7672901;439373.156;4899251.277
68.75945796;1215.503326;440373.156;4899251.277
66.128736;1451.638129;441373.156;4899251.277
63.4298488;1304.335466;442373.156;4899251.277
72.26124643;1030.343424;443373.156;4899251.277
68.42217817;1181.558043;444373.156;4899251.277
69.48892428;973.313574;445373.156;4899251.277
71.34901682;1084.066947;446373.156;4899251.277
70.96872919;1333.615256;447373.156;4899251.277
67.80921827;1054.704973;448373.156;4899251.277
63.67821021;951.0907045;449373.156;4899251.277
72.90609232;1346.384433;450373.156;4899251.277
73.75270343;1700.117474;451373.156;4899251.277
75.30868095;1731.086241;452373.156;4899251.277
74.6462664;1678.418432;453373.156;4899251.277
74.44695784;1433.33699;454373.156;4899251.277
77.25114338;1274.259791;455373.156;4899251.277
75.27368654;1471.447928;456373.156;4899251.277
67.33618631;1541.946265;457373.156;4899251.277
79.5405436;1309.218761;458373.156;4899251.277
76.92650785;1222.989651;459373.156;4899251.277
61.46173512;989.6516716;460373.156;4899251.277
74.34876762;1186.491495;461373.156;4899251.277
74.69350322;1205.972143;462373.156;4899251.277
75.04933402;1273.730689;463373.156;4899251.277
69.49439895;1544.740694;464373.156;4899251.277
69.61581313;1662.496777;465373.156;4899251.277
58.81035223;1395.351301;466373.156;4899251.277
69.79428574;946.867178;467373.156;4899251.277
65.55518838;664.7034346;468373.156;4899251.277
49.83685252;520.7424482;469373.156;4899251.277
22.24030703;483.8331949;470373.156;4899251.277
25.33706331;421.6802935;471373.156;4899251.277
6.40246491;382.7382509;472373.156;4899251.277
5.306235514;394.463258;473373.156;4899251.277
2.811809223;361.7621756;474373.156;4899251.277
4.645754135;334.2246237;475373.156;4899251.277
2.018266001;317.4221653;476373.156;4899251.277
3.661517241;308.1007352;477373.156;4899251.277
0.860771209;306.3735537;478373.156;4899251.277
0.092191548;308.0390648;479373.156;4899251.277
1.010188632;306.9007167;480373.156;4899251.277
1.039084099;306.9371977;481373.156;4899251.277
3.334235026;309.7714576;482373.156;4899251.277
0.281024189;311.3945786;483373.156;4899251.277
0.782828667;312.4109199;484373.156;4899251.277
1.910854694;308.8007989;485373.156;4899251.277
14.59604978;305.552872;486373.156;4899251.277
2.909103176;313.3623483;487373.156;4899251.277
0.089881236;320.8172913;488373.156;4899251.277
0;324.0198296;489373.156;4899251.277
0.116596052;326.7969637;490373.156;4899251.277
1.452137963;325.7083648;491373.156;4899251.277
0.845713623;329.8874172;492373.156;4899251.277
1.015408768;333.8881396;493373.156;4899251.277
0.270573644;334.917621;494373.156;4899251.277
0.008221583;332.9464032;495373.156;4899251.277
0;332.1383567;496373.156;4899251.277
0;335.2852517;497373.156;4899251.277
0;353.8824331;498373.156;4899251.277
0.307848907;429.4698074;499373.156;4899251.277
23.97280711;700.1428664;500373.156;4899251.277
41.73781357;1343.403435;501373.156;4899251.277
47.46243407;1532.888176;502373.156;4899251.277
71.41289168;698.6777397;430373.156;4900251.277
66.198934;730.3153368;431373.156;4900251.277
69.15509998;811.3810931;432373.156;4900251.277
66.81610599;572.005336;433373.156;4900251.277
70.84035897;570.5905347;434373.156;4900251.277
71.42704797;493.7543946;435373.156;4900251.277
71.92191462;724.8844173;436373.156;4900251.277
70.66085655;763.1878034;437373.156;4900251.277
58.34622655;454.2239725;438373.156;4900251.277
67.60495178;845.7760063;439373.156;4900251.277
71.57615344;791.3721632;440373.156;4900251.277
71.01619198;1009.862468;441373.156;4900251.277
65.37787989;1258.210256;442373.156;4900251.277
73.42493613;1332.078388;443373.156;4900251.277
69.27605128;1363.403371;444373.156;4900251.277
67.79912057;1200.937292;445373.156;4900251.277
69.91296561;1126.294541;446373.156;4900251.277
69.00997708;1308.967341;447373.156;4900251.277
66.54517501;1158.901859;448373.156;4900251.277
65.23953145;840.889713;449373.156;4900251.277
71.34745372;1085.921406;450373.156;4900251.277
72.67290732;1209.807726;451373.156;4900251.277
72.84655087;1342.420548;452373.156;4900251.277
72.88709818;1672.883474;453373.156;4900251.277
74.07269463;1791.979038;454373.156;4900251.277
75.26769717;1754.609601;455373.156;4900251.277
76.00241423;1528.628387;456373.156;4900251.277
73.70523788;1677.073401;457373.156;4900251.277
74.42413644;1523.318441;458373.156;4900251.277
73.84449683;1365.765011;459373.156;4900251.277
68.4263688;1036.889287;460373.156;4900251.277
75.81003152;1167.496491;461373.156;4900251.277
73.71265748;1264.909798;462373.156;4900251.277
68.86293401;1473.909342;463373.156;4900251.277
77.40009464;1555.575628;464373.156;4900251.277
72.61537754;1556.849625;465373.156;4900251.277
71.57020207;1073.109228;466373.156;4900251.277
64.81373651;790.9277899;467373.156;4900251.277
59.30436055;734.4601069;468373.156;4900251.277
25.25026083;489.6271849;469373.156;4900251.277
40.84628743;465.3197486;470373.156;4900251.277
45.44559618;523.6832074;471373.156;4900251.277
37.40257711;496.2616426;472373.156;4900251.277
37.97583809;522.7524792;473373.156;4900251.277
17.91855752;434.8369671;474373.156;4900251.277
20.97956494;353.2780441;475373.156;4900251.277
1.732122884;333.7734581;476373.156;4900251.277
2.689996653;360.8222019;477373.156;4900251.277
3.268919982;321.6644861;478373.156;4900251.277
0.412626555;303.9060374;479373.156;4900251.277
0.002280752;303.9550915;480373.156;4900251.277
0.007867623;305.6436762;481373.156;4900251.277
0.246190568;306.2103843;482373.156;4900251.277
0.020398598;307.7021794;483373.156;4900251.277
0.475083258;307.5029036;484373.156;4900251.277
5.816915209;304.9963195;485373.156;4900251.277
5.252947509;307.5361269;486373.156;4900251.277
0.012826512;314.2978032;487373.156;4900251.277
0;316.879592;488373.156;4900251.277
0;320.1296743;489373.156;4900251.277
0.614503206;323.3544986;490373.156;4900251.277
1.636107298;326.1023134;491373.156;4900251.277
0.004859997;326.2023858;492373.156;4900251.277
0.10755615;327.2206943;493373.156;4900251.277
1.236953493;329.7300486;494373.156;4900251.277
0.07255241;329.6019707;495373.156;4900251.277
0;329.4049875;496373.156;4900251.277
0;332.5856633;497373.156;4900251.277
